visual_group,top_level_topic,row_title,source_file,header_regex,default_labels
SPECIALIZED LOGIC,greedy,Partition Greedy,greedy.html,^§1.5\s+划分型贪心,PATTERN
SPECIALIZED LOGIC,greedy,Enumerate then Greedy,greedy.html,^§1.6\s+先枚举，再贪心,PATTERN
SPECIALIZED LOGIC,greedy,Exchange Argument,greedy.html,^§1.7\s+交换论证法,PATTERN
SPECIALIZED LOGIC,greedy,Adjacent Difference,greedy.html,^§1.8\s+相邻不同,PATTERN
SPECIALIZED LOGIC,greedy,Regret Greedy,greedy.html,^§1.9\s+反悔贪心,PATTERN
SPECIALIZED LOGIC,greedy,Interval Greedy,greedy.html,^二、区间贪心,PATTERN
SPECIALIZED LOGIC,greedy,Non-overlapping Intervals,greedy.html,^§2.1\s+不相交区间,PATTERN
SPECIALIZED LOGIC,greedy,Interval Partitioning,greedy.html,^§2.2\s+区间分组,PATTERN
SPECIALIZED LOGIC,greedy,Interval Point Selection,greedy.html,^§2.3\s+区间选点,PATTERN
SPECIALIZED LOGIC,greedy,Interval Covering,greedy.html,^§2.4\s+区间覆盖,PATTERN
SPECIALIZED LOGIC,greedy,Merge Intervals,greedy.html,^§2.5\s+合并区间,PATTERN
SPECIALIZED LOGIC,greedy,Other Interval Greedy,greedy.html,^§2.6\s+其他区间贪心,PATTERN
SPECIALIZED LOGIC,greedy,String Greedy,greedy.html,^三、字符串贪心,PATTERN
SPECIALIZED LOGIC,greedy,Lexicographically Smallest/Largest,greedy.html,^§3.1\s+字典序最小/最大,PATTERN
SPECIALIZED LOGIC,greedy,Palindrome Greedy,greedy.html,^§3.2\s+回文串贪心,PATTERN
SPECIALIZED LOGIC,greedy,Valid Parentheses,greedy.html,^§3.3\s+合法括号字符串,PATTERN
SPECIALIZED LOGIC,greedy,Mathematical Greedy,greedy.html,^四、数学贪心,PATTERN
SPECIALIZED LOGIC,greedy,Fundamentals,greedy.html,^§4.1\s+基础,CORE
SPECIALIZED LOGIC,greedy,Product Greedy,greedy.html,^§4.2\s+乘积贪心,PATTERN
SPECIALIZED LOGIC,greedy,Rearrangement Inequality,greedy.html,^§4.3\s+排序不等式,PATTERN
SPECIALIZED LOGIC,greedy,AM-GM Inequality,greedy.html,^§4.4\s+均值不等式,PATTERN
SPECIALIZED LOGIC,greedy,Median Greedy,greedy.html,^§4.5\s+中位数贪心,PATTERN
SPECIALIZED LOGIC,greedy,Mathematical Induction,greedy.html,^§4.6\s+归纳法,PATTERN
SPECIALIZED LOGIC,greedy,Other Mathematical Greedy,greedy.html,^§4.7\s+其他数学贪心,PATTERN
SPECIALIZED LOGIC,greedy,Logical Thinking,greedy.html,^五、思维题,THINKING
SPECIALIZED LOGIC,greedy,Special to General,greedy.html,^§5.1\s+从特殊到一般,PATTERN
SPECIALIZED LOGIC,greedy,Brain Teasers,greedy.html,^§5.2\s+脑筋急转弯,PATTERN
SPECIALIZED LOGIC,greedy,Equivalent Transformation,greedy.html,^§5.3\s+等价转换,PATTERN
SPECIALIZED LOGIC,greedy,Reverse Thinking,greedy.html,^§5.4\s+逆向思维,THINKING
SPECIALIZED LOGIC,greedy,Contribution Method,greedy.html,^§5.5\s+贡献法,PATTERN
SPECIALIZED LOGIC,greedy,Two-Pass Scan,greedy.html,^§5.6\s+两次扫描,PATTERN
SPECIALIZED LOGIC,greedy,Case Analysis,greedy.html,^§5.7\s+分类讨论,PATTERN
SPECIALIZED LOGIC,greedy,Constructive Problems,greedy.html,^六、构造题,PATTERN
SPECIALIZED LOGIC,greedy,Interactive Problems,greedy.html,^七、交互题,PATTERN
SPECIALIZED LOGIC,greedy,Miscellaneous,greedy.html,^八、其他,PATTERN
RECURSION & TREES,grid-graph,Grid DFS,grid_graph.html,^一、网格图\s+DFS,GRAPH
RECURSION & TREES,grid-graph,Grid BFS,grid_graph.html,^二、网格图\s+BFS,GRAPH
RECURSION & TREES,grid-graph,Grid 0-1 BFS,grid_graph.html,^三、网格图\s+0-1\s+BFS,GRAPH
RECURSION & TREES,grid-graph,Grid Dijkstra,grid_graph.html,^四、网格图\s+Dijkstra,GRAPH
RECURSION & TREES,grid-graph,Comprehensive Applications,grid_graph.html,^五、综合应用,PATTERN
RECURSION & TREES,linked-list-tree,Linked List,linked_list_tree.html,^一、链表,PATTERN
RECURSION & TREES,linked-list-tree,Traverse Linked List,linked_list_tree.html,^§1.1\s+遍历链表,PATTERN
RECURSION & TREES,linked-list-tree,Delete Node,linked_list_tree.html,^§1.2\s+删除节点,PATTERN
RECURSION & TREES,linked-list-tree,Insert Node,linked_list_tree.html,^§1.3\s+插入节点,PATTERN
RECURSION & TREES,linked-list-tree,Reverse Linked List,linked_list_tree.html,^§1.4\s+反转链表,PATTERN
RECURSION & TREES,linked-list-tree,Front-Back Pointers,linked_list_tree.html,^§1.5\s+前后指针,PATTERN
RECURSION & TREES,linked-list-tree,Fast-Slow Pointers,linked_list_tree.html,^§1.6\s+快慢指针,PATTERN
RECURSION & TREES,linked-list-tree,Two Pointers,linked_list_tree.html,^§1.7\s+双指针,PATTERN
RECURSION & TREES,linked-list-tree,Merge Lists,linked_list_tree.html,^§1.8\s+合并链表,PATTERN
RECURSION & TREES,linked-list-tree,Divide and Conquer,linked_list_tree.html,^§1.9\s+分治,PATTERN
RECURSION & TREES,linked-list-tree,Comprehensive Applications,linked_list_tree.html,^§1.10\s+综合应用,PATTERN
RECURSION & TREES,linked-list-tree,Miscellaneous,linked_list_tree.html,^§1.11\s+其他,PATTERN
RECURSION & TREES,linked-list-tree,Binary Tree,linked_list_tree.html,^二、二叉树,PATTERN
RECURSION & TREES,linked-list-tree,Tree Traversal,linked_list_tree.html,^§2.1\s+遍历二叉树,PATTERN
RECURSION & TREES,linked-list-tree,Top-Down DFS (Preorder),linked_list_tree.html,^§2.2\s+自顶向下\s+DFS（先序遍历）,GRAPH
RECURSION & TREES,linked-list-tree,Bottom-Up DFS (Postorder),linked_list_tree.html,^§2.3\s+自底向上\s+DFS（后序遍历）,GRAPH
RECURSION & TREES,linked-list-tree,Bottom-Up DFS: Node Deletion,linked_list_tree.html,^§2.4\s+自底向上\s+DFS：删点,GRAPH
RECURSION & TREES,linked-list-tree,Recursion with Return,linked_list_tree.html,^§2.5\s+有递有归,PATTERN
RECURSION & TREES,linked-list-tree,Binary Tree Diameter,linked_list_tree.html,^§2.6\s+二叉树的直径,PATTERN
RECURSION & TREES,linked-list-tree,Backtracking,linked_list_tree.html,^§2.7\s+回溯,PATTERN
RECURSION & TREES,linked-list-tree,Lowest Common Ancestor (LCA),linked_list_tree.html,^§2.8\s+最近公共祖先,PATTERN
RECURSION & TREES,linked-list-tree,Binary Search Tree (BST),linked_list_tree.html,^§2.9\s+二叉搜索树,PATTERN
RECURSION & TREES,linked-list-tree,Construct Binary Tree,linked_list_tree.html,^§2.10\s+创建二叉树,PATTERN
RECURSION & TREES,linked-list-tree,Insert/Delete Node,linked_list_tree.html,^§2.11\s+插入/删除节点,PATTERN
RECURSION & TREES,linked-list-tree,Tree DP,linked_list_tree.html,^§2.12\s+树形\s+DP,DP
RECURSION & TREES,linked-list-tree,Binary Tree BFS,linked_list_tree.html,^§2.13\s+二叉树\s+BFS,GRAPH
RECURSION & TREES,linked-list-tree,Linked List + Binary Tree,linked_list_tree.html,^§2.14\s+链表+二叉树,PATTERN
RECURSION & TREES,linked-list-tree,N-ary Tree,linked_list_tree.html,^§2.15\s+N\s+叉树,PATTERN
RECURSION & TREES,linked-list-tree,Miscellaneous,linked_list_tree.html,^§2.16\s+其他,PATTERN
RECURSION & TREES,linked-list-tree,General Tree,linked_list_tree.html,^三、一般树,PATTERN
RECURSION & TREES,linked-list-tree,Traversal,linked_list_tree.html,^§3.1\s+遍历,PATTERN
RECURSION & TREES,linked-list-tree,Top-Down DFS,linked_list_tree.html,^§3.2\s+自顶向下\s+DFS,GRAPH
RECURSION & TREES,linked-list-tree,Bottom-Up DFS,linked_list_tree.html,^§3.3\s+自底向上\s+DFS,GRAPH
RECURSION & TREES,linked-list-tree,Recursion with Return,linked_list_tree.html,^§3.4\s+有递有归,PATTERN
RECURSION & TREES,linked-list-tree,Tree Diameter,linked_list_tree.html,^§3.5\s+树的直径,PATTERN
RECURSION & TREES,linked-list-tree,Tree Topological Sort,linked_list_tree.html,^§3.6\s+树的拓扑排序,PATTERN
RECURSION & TREES,linked-list-tree,DFS Timestamp,linked_list_tree.html,^§3.7\s+DFS\s+时间戳,GRAPH
RECURSION & TREES,linked-list-tree,LCA & Binary Lifting,linked_list_tree.html,^§3.8\s+最近公共祖先（LCA）、倍增算法,PATTERN
RECURSION & TREES,linked-list-tree,Virtual Tree,linked_list_tree.html,^§3.9\s+虚树,PATTERN
RECURSION & TREES,linked-list-tree,DSU on Tree,linked_list_tree.html,^§3.10\s+树上启发式合并,PATTERN
RECURSION & TREES,linked-list-tree,Centroid Decomposition,linked_list_tree.html,^§3.11\s+点分治,PATTERN
RECURSION & TREES,linked-list-tree,Tree Sliding Window,linked_list_tree.html,^§3.12\s+树上滑动窗口,PATTERN
RECURSION & TREES,linked-list-tree,Miscellaneous,linked_list_tree.html,^§3.13\s+其他,PATTERN
RECURSION & TREES,linked-list-tree,Backtracking,linked_list_tree.html,^四、回溯,PATTERN
RECURSION & TREES,linked-list-tree,Intro Backtracking,linked_list_tree.html,^§4.1\s+入门回溯,CORE
RECURSION & TREES,linked-list-tree,Subset Backtracking,linked_list_tree.html,^§4.2\s+子集型回溯,PATTERN
RECURSION & TREES,linked-list-tree,Partition Backtracking,linked_list_tree.html,^§4.3\s+划分型回溯,PATTERN
RECURSION & TREES,linked-list-tree,Combination Backtracking,linked_list_tree.html,^§4.4\s+组合型回溯,PATTERN
RECURSION & TREES,linked-list-tree,Permutation Backtracking,linked_list_tree.html,^§4.5\s+排列型回溯,PATTERN
RECURSION & TREES,linked-list-tree,Backtracking with Duplicates,linked_list_tree.html,^§4.6\s+有重复元素的回溯,PATTERN
RECURSION & TREES,linked-list-tree,Search,linked_list_tree.html,^§4.7\s+搜索,PATTERN
RECURSION & TREES,linked-list-tree,Meet in the Middle,linked_list_tree.html,^§4.8\s+折半枚举,PATTERN
RECURSION & TREES,linked-list-tree,Other Recursion/Divide & Conquer,linked_list_tree.html,^五、其他递归/分治,PATTERN
SPECIALIZED LOGIC,math,Number Theory,math.html,^一、数论,PATTERN
SPECIALIZED LOGIC,math,Primality Test,math.html,^§1.1\s+判断质数,PATTERN
SPECIALIZED LOGIC,math,Sieve of Primes,math.html,^§1.2\s+预处理质数（筛质数）,PATTERN
SPECIALIZED LOGIC,math,Prime Factorization,math.html,^§1.3\s+质因数分解,PATTERN
SPECIALIZED LOGIC,math,Factorial Decomposition,math.html,^§1.4\s+阶乘分解,PATTERN
SPECIALIZED LOGIC,math,Divisors,math.html,^§1.5\s+因子,PATTERN
SPECIALIZED LOGIC,math,Greatest Common Divisor (GCD),math.html,^§1.6\s+最大公约数（GCD）,PATTERN
SPECIALIZED LOGIC,math,Least Common Multiple (LCM),math.html,^§1.7\s+最小公倍数（LCM）,PATTERN
SPECIALIZED LOGIC,math,Coprime,math.html,^§1.8\s+互质,PATTERN
SPECIALIZED LOGIC,math,Modular Arithmetic,math.html,^§1.9\s+同余,PATTERN
SPECIALIZED LOGIC,math,Number Theoretic Blocks,math.html,^§1.10\s+数论分块,PATTERN
SPECIALIZED LOGIC,math,Miscellaneous,math.html,^§1.11\s+其他,PATTERN
SPECIALIZED LOGIC,math,Combinatorics,math.html,^二、组合数学,PATTERN
SPECIALIZED LOGIC,math,Multiplication Principle,math.html,^§2.1\s+乘法原理,PATTERN
SPECIALIZED LOGIC,math,Combinatorial Counting,math.html,^§2.2\s+组合计数,PATTERN
SPECIALIZED LOGIC,math,Balls and Boxes,math.html,^§2.3\s+放球问题,PATTERN
SPECIALIZED LOGIC,math,Inclusion-Exclusion,math.html,^§2.4\s+容斥原理,PATTERN
SPECIALIZED LOGIC,math,Generating Functions,math.html,^§2.5\s+生成函数（母函数）,PATTERN
SPECIALIZED LOGIC,math,Probability/Expected Value,math.html,^三、概率期望,PATTERN
SPECIALIZED LOGIC,math,Game Theory,math.html,^四、博弈论,PATTERN
SPECIALIZED LOGIC,math,Computational Geometry,math.html,^五、计算几何,PATTERN
SPECIALIZED LOGIC,math,Points & Lines,math.html,^§5.1\s+点、线,PATTERN
SPECIALIZED LOGIC,math,Circles,math.html,^§5.2\s+圆,PATTERN
SPECIALIZED LOGIC,math,Rectangles & Polygons,math.html,^§5.3\s+矩形、多边形,PATTERN
SPECIALIZED LOGIC,math,Convex Hull,math.html,^§5.4\s+凸包,PATTERN
SPECIALIZED LOGIC,math,Randomized Algorithms,math.html,^六、随机算法,PATTERN
SPECIALIZED LOGIC,math,Random Numbers,math.html,^§6.1\s+随机数,PATTERN
SPECIALIZED LOGIC,math,Randomization Techniques,math.html,^§6.2\s+随机化技巧,PATTERN
SPECIALIZED LOGIC,math,Miscellaneous,math.html,^七、杂项,PATTERN
SPECIALIZED LOGIC,math,Palindrome Numbers,math.html,^§7.1\s+回文数,PATTERN
SPECIALIZED LOGIC,math,Integer Partition,math.html,^§7.2\s+整数拆分,PATTERN
SPECIALIZED LOGIC,math,Manhattan & Chebyshev Distance,math.html,^§7.3\s+曼哈顿距离与切比雪夫距离,PATTERN
SPECIALIZED LOGIC,math,Polynomials,math.html,^§7.4\s+多项式,PATTERN
SPECIALIZED LOGIC,math,Fast Walsh Transform (FWT),math.html,^§7.5\s+快速沃尔什变换（FWT）,PATTERN
SPECIALIZED LOGIC,math,Linear Basis,math.html,^§7.6\s+线性基,PATTERN
SPECIALIZED LOGIC,math,Boyer-Moore Voting,math.html,^§7.7\s+摩尔投票法,PATTERN
SPECIALIZED LOGIC,math,Miscellaneous,math.html,^§7.8\s+其他,PATTERN
CORE DATA STRUCTURES,monotonic-stack,Monotonic Stack,monotonic_stack.html,^一、单调栈,PATTERN
CORE DATA STRUCTURES,monotonic-stack,Fundamentals,monotonic_stack.html,^§1.1\s+基础,CORE
CORE DATA STRUCTURES,monotonic-stack,Advanced,monotonic_stack.html,^§1.2\s+进阶,ADVANCED
CORE DATA STRUCTURES,monotonic-stack,Rectangles,monotonic_stack.html,^二、矩形,PATTERN
CORE DATA STRUCTURES,monotonic-stack,Contribution Method,monotonic_stack.html,^三、贡献法,PATTERN
CORE DATA STRUCTURES,monotonic-stack,Minimum Lexicographical Order,monotonic_stack.html,^四、最小字典序,PATTERN
LINEAR FOUNDATIONS,sliding-window,Fixed-Length Sliding Window,sliding_window.html,^一、定长滑动窗口,PATTERN
LINEAR FOUNDATIONS,sliding-window,Fundamentals,sliding_window.html,^§1.1\s+基础,CORE
LINEAR FOUNDATIONS,sliding-window,Advanced (Optional),sliding_window.html,^§1.2\s+进阶（选做）,ADVANCED|OPTIONAL
LINEAR FOUNDATIONS,sliding-window,Others (Optional),sliding_window.html,^§1.3\s+其他（选做）,OPTIONAL
LINEAR FOUNDATIONS,sliding-window,Variable-Length Sliding Window,sliding_window.html,^二、不定长滑动窗口,PATTERN
LINEAR FOUNDATIONS,sliding-window,Shorter is Valid / Find Longest,sliding_window.html,^§2.1\s+越短越合法/求最长/最大,PATTERN
LINEAR FOUNDATIONS,sliding-window,Fundamentals,sliding_window.html,^§2.1.1\s+基础,CORE
LINEAR FOUNDATIONS,sliding-window,Advanced (Optional),sliding_window.html,^§2.1.2\s+进阶（选做）,ADVANCED|OPTIONAL
LINEAR FOUNDATIONS,sliding-window,Longer is Valid / Find Shortest,sliding_window.html,^§2.2\s+越长越合法/求最短/最小,PATTERN
LINEAR FOUNDATIONS,sliding-window,Count Subarrays,sliding_window.html,^§2.3\s+求子数组个数,PATTERN
LINEAR FOUNDATIONS,sliding-window,Shorter is Valid,sliding_window.html,^§2.3.1\s+越短越合法,PATTERN
LINEAR FOUNDATIONS,sliding-window,Longer is Valid,sliding_window.html,^§2.3.2\s+越长越合法,PATTERN
LINEAR FOUNDATIONS,sliding-window,Exactly K Window,sliding_window.html,^§2.3.3\s+恰好型滑动窗口,PATTERN
LINEAR FOUNDATIONS,sliding-window,Others (Optional),sliding_window.html,^§2.4\s+其他（选做）,OPTIONAL
LINEAR FOUNDATIONS,sliding-window,Single Sequence Two Pointers,sliding_window.html,^三、单序列双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Reverse String,sliding_window.html,^§3.1\s+反转字符串,PATTERN
LINEAR FOUNDATIONS,sliding-window,Opposite Direction,sliding_window.html,^§3.2\s+相向双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Same Direction,sliding_window.html,^§3.3\s+同向双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Outward Two Pointers,sliding_window.html,^§3.4\s+背向双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,In-Place Modification,sliding_window.html,^§3.5\s+原地修改,PATTERN
LINEAR FOUNDATIONS,sliding-window,Two Pointers on Matrix,sliding_window.html,^§3.6\s+矩阵上的双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Two Sequence Two Pointers,sliding_window.html,^四、双序列双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Two Pointers,sliding_window.html,^§4.1\s+双指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Subsequence Matching,sliding_window.html,^§4.2\s+判断子序列,PATTERN
LINEAR FOUNDATIONS,sliding-window,Three Pointers,sliding_window.html,^五、三指针,PATTERN
LINEAR FOUNDATIONS,sliding-window,Grouped Iteration,sliding_window.html,^六、分组循环,PATTERN
SPECIALIZED LOGIC,strings,KMP (Prefix Function),strings.html,^一、KMP（前缀的后缀）,PATTERN
SPECIALIZED LOGIC,strings,Z-function (Z-Algorithm),strings.html,^二、Z\s+函数（后缀的前缀）,PATTERN
SPECIALIZED LOGIC,strings,Manacher (Palindromes),strings.html,^三、Manacher\s+算法（回文串）,PATTERN
SPECIALIZED LOGIC,strings,String Hashing,strings.html,^四、字符串哈希,PATTERN
SPECIALIZED LOGIC,strings,Minimum Representation,strings.html,^五、最小表示法,PATTERN
SPECIALIZED LOGIC,strings,字典树,strings.html,^六、字典树,PATTERN
SPECIALIZED LOGIC,strings,Aho-Corasick Automaton,strings.html,^七、AC\s+自动机,PATTERN
SPECIALIZED LOGIC,strings,Suffix Array/Automaton,strings.html,^八、后缀数组/后缀自动机,PATTERN
SPECIALIZED LOGIC,strings,Subsequence Automaton,strings.html,^九、子序列自动机,PATTERN
SPECIALIZED LOGIC,strings,Miscellaneous,strings.html,^十、其他,PATTERN
